date,fund,company,ticker,shares,weight(%)
1/11/2021,ARKW,2U INC,TWOU,1892624.00,1.40
1/11/2021,ARKQ,2U INC,TWOU,1201373.00,2.35
1/11/2021,ARKK,2U INC,TWOU,8055366.00,1.67
1/11/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,2673541.00,2.18
1/11/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,3304781.00,5.91
1/11/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,585458.00,1.03
1/11/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,845694.00,0.68
1/11/2021,ARKW,UNITY SOFTWARE INC,U,506162.00,1.22
1/11/2021,ARKK,UNITY SOFTWARE INC,U,1673581.00,1.13
1/11/2021,ARKG,VERACYTE INC,VCYT,2154080.00,1.13
1/11/2021,ARKW,VERACYTE INC,VCYT,1654255.00,1.41
1/11/2021,ARKK,VERACYTE INC,VCYT,4841473.00,1.15
1/11/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,409260.00,1.24
1/11/2021,ARKF,VERISK ANALYTICS INC,VRSK,84581.00,0.74
1/11/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,993265.00,2.45
1/11/2021,ARKF,WORKDAY INC-CLASS A,WDAY,181556.00,1.85
1/11/2021,ARKQ,WORKHORSE GROUP INC,WKHS,2179802.00,2.54
1/11/2021,ARKQ,XILINX INC,XLNX,193537.00,1.32
1/11/2021,ARKQ,EXONE CO/THE,XONE,997483.00,0.62
1/11/2021,ARKF,ZILLOW GROUP INC - C,Z,737257.00,4.69
1/11/2021,ARKW,ZILLOW GROUP INC - C,Z,823243.00,2.02
1/11/2021,ARKK,ZILLOW GROUP INC - C,Z,4511843.00,3.09
1/11/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,858536.00,1.39
1/11/2021,ARKW,ZOOM VIDEO COMMUNICATIONS-A,ZM,232627.00,1.34
